iso3c,Country of asylum,lat,lon,Refugees,IDPs,Asylum-seekers,Venezuelans displaced abroad,total
ABW,Aruba (K. of the Netherland),12.51564367,-69.97564846,,,,17000,17000
ARG,Argentina,-36.31301214,-65.38050053,4050,,11026,164622,179698
BLZ,Belize,17.21331239,-88.69545108,86,,2015,,2101
BOL,Plurinational State of Bolivia,-16.78265491,-64.66489316,1116,,35,11805,12956
BRA,Brazil,-11.23342829,-53.04890275,61956,,199233,175992,437181
CAN,Canada,60.72319025,-119.6636475,130125,,63143,,193268
CHL,Chile,-37.66632188,-71.43251712,2065,,10159,500271,512495
COL,Colombia,3.922030023,-73.07390625,1504,6766002,28920,1842390,8638816
CRI,Costa Rica,9.972132742,-84.18904374,10224,,152507,21766,184497
CUW,Curaçao (K. of the Netherland),12.1528715,-68.955285,,,,17000,17000
DOM,Dominican Republic,18.89852025,-70.489848,162,,642,116000,116804
ECU,Ecuador,-1.450100143,-78.38642933,56603,,7137,503882,567622
GTM,Guatemala,15.01038024,-91.2387675,479,,1470,1469,3418
GUY,Guyana,4.799295335,-58.97582638,40,,94,25800,25934
HND,Honduras,14.81983397,-86.61817983,144,247090,99,,247333
MEX,Mexico,24.18661324,-102.6920954,73448,,157150,63179,293777
PAN,Panama,8.299829007,-81.5723,2542,,11630,128000,142172
PER,Peru,-13.61888342,-71.8442125,5790,,537047,791442,1334279
PRY,Paraguay,-23.28507214,-58.36935304,4484,,860,1910,7254
SLV,El Salvador,13.73739607,-88.86685743,98,71500,66,,71664
SUR,Suriname,4.128356943,-55.91178561,29,,2133,,2162
TTO,Trinidad and Tobago,10.41733152,-61.29207929,3571,,21622,8403,33596
URY,Uruguay,-32.82168037,-56.00892367,877,,13519,14995,29391
USA,United States of America,40.14245014,-99.29881552,339179,,1303181,,1642360
VEN,Bolivarian Republic of Venezuela,7.133645737,-66.18536305,39328,,516,,39844
